,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
480,0.609,0.859,1,-4.419,1,0.407,0.0333,0.0,0.16,0.565,183.726,audio_features,5w5Zq6IAtSo1vBXBofvgZ9,spotify:track:5w5Zq6IAtSo1vBXBofvgZ9,https://api.spotify.com/v1/tracks/5w5Zq6IAtSo1vBXBofvgZ9,https://api.spotify.com/v1/audio-analysis/5w5Zq6IAtSo1vBXBofvgZ9,151304,4,Sangeeths
481,0.755,0.817,6,-4.527,0,0.398,0.181,0.0,0.145,0.685,168.188,audio_features,4gS5rKGbcgXsSMXGmwzBl6,spotify:track:4gS5rKGbcgXsSMXGmwzBl6,https://api.spotify.com/v1/tracks/4gS5rKGbcgXsSMXGmwzBl6,https://api.spotify.com/v1/audio-analysis/4gS5rKGbcgXsSMXGmwzBl6,174543,4,Sangeeths
482,0.629,0.859,2,-5.811,1,0.286,0.0131,0.0,0.0793,0.857,92.834,audio_features,26jRQ7artmYHMyYuvHpCJp,spotify:track:26jRQ7artmYHMyYuvHpCJp,https://api.spotify.com/v1/tracks/26jRQ7artmYHMyYuvHpCJp,https://api.spotify.com/v1/audio-analysis/26jRQ7artmYHMyYuvHpCJp,227133,4,Sangeeths
483,0.748,0.658,3,-5.766,0,0.0466,0.0772,4.12e-06,0.139,0.502,104.903,audio_features,5k3aDRzzi8BIWbQYvRZzSk,spotify:track:5k3aDRzzi8BIWbQYvRZzSk,https://api.spotify.com/v1/tracks/5k3aDRzzi8BIWbQYvRZzSk,https://api.spotify.com/v1/audio-analysis/5k3aDRzzi8BIWbQYvRZzSk,180007,4,Sangeeths
484,0.647,0.678,2,-6.632,1,0.414,0.0111,1.44e-06,0.0903,0.327,108.894,audio_features,2TErx45M41CvyivaIYUtZC,spotify:track:2TErx45M41CvyivaIYUtZC,https://api.spotify.com/v1/tracks/2TErx45M41CvyivaIYUtZC,https://api.spotify.com/v1/audio-analysis/2TErx45M41CvyivaIYUtZC,123067,4,Sangeeths
485,0.74,0.786,9,-7.872,1,0.271,0.238,0.0,0.129,0.379,93.541,audio_features,7KiknWfaXapWQI2yNj2O8s,spotify:track:7KiknWfaXapWQI2yNj2O8s,https://api.spotify.com/v1/tracks/7KiknWfaXapWQI2yNj2O8s,https://api.spotify.com/v1/audio-analysis/7KiknWfaXapWQI2yNj2O8s,184979,4,Sangeeths
486,0.698,0.634,0,-6.121,0,0.0742,0.139,4.89e-06,0.338,0.528,159.992,audio_features,6oX9RuILbVIglevEhbg8iM,spotify:track:6oX9RuILbVIglevEhbg8iM,https://api.spotify.com/v1/tracks/6oX9RuILbVIglevEhbg8iM,https://api.spotify.com/v1/audio-analysis/6oX9RuILbVIglevEhbg8iM,255133,4,Sangeeths
487,0.658,0.73,10,-6.002,0,0.252,0.448,0.00339,0.193,0.447,88.894,audio_features,7CzSP7spDpZBP8edbtPIwI,spotify:track:7CzSP7spDpZBP8edbtPIwI,https://api.spotify.com/v1/tracks/7CzSP7spDpZBP8edbtPIwI,https://api.spotify.com/v1/audio-analysis/7CzSP7spDpZBP8edbtPIwI,199875,4,Sangeeths
488,0.577,0.644,8,-7.703,0,0.253,0.619,2.32e-05,0.0978,0.267,114.821,audio_features,22RbqLRBiP2NJ9sbOHCiRl,spotify:track:22RbqLRBiP2NJ9sbOHCiRl,https://api.spotify.com/v1/tracks/22RbqLRBiP2NJ9sbOHCiRl,https://api.spotify.com/v1/audio-analysis/22RbqLRBiP2NJ9sbOHCiRl,122187,4,Sangeeths
489,0.789,0.812,1,-3.981,1,0.168,0.236,0.0,0.13,0.417,94.03,audio_features,4e6l3QGj4RZesjDLVqYk3H,spotify:track:4e6l3QGj4RZesjDLVqYk3H,https://api.spotify.com/v1/tracks/4e6l3QGj4RZesjDLVqYk3H,https://api.spotify.com/v1/audio-analysis/4e6l3QGj4RZesjDLVqYk3H,191000,4,Sangeeths
490,0.565,0.713,6,-6.43,1,0.146,0.322,2.86e-05,0.189,0.212,117.92,audio_features,3a0lTKu4ls7IsemVo8pvH5,spotify:track:3a0lTKu4ls7IsemVo8pvH5,https://api.spotify.com/v1/tracks/3a0lTKu4ls7IsemVo8pvH5,https://api.spotify.com/v1/audio-analysis/3a0lTKu4ls7IsemVo8pvH5,132942,4,Sangeeths
491,0.697,0.76,9,-7.346,1,0.0662,0.318,0.00191,0.108,0.214,160.011,audio_features,1wimVR4MuMPdjlZ5iw9yKj,spotify:track:1wimVR4MuMPdjlZ5iw9yKj,https://api.spotify.com/v1/tracks/1wimVR4MuMPdjlZ5iw9yKj,https://api.spotify.com/v1/audio-analysis/1wimVR4MuMPdjlZ5iw9yKj,183000,4,Sangeeths
492,0.816,0.842,10,-5.24,1,0.194,0.0865,2.31e-06,0.0941,0.548,130.021,audio_features,6n59qy5X4m45RZevoQU3Yk,spotify:track:6n59qy5X4m45RZevoQU3Yk,https://api.spotify.com/v1/tracks/6n59qy5X4m45RZevoQU3Yk,https://api.spotify.com/v1/audio-analysis/6n59qy5X4m45RZevoQU3Yk,186000,4,Sangeeths
493,0.442,0.766,1,-5.705,0,0.176,0.193,1.48e-05,0.098,0.171,96.889,audio_features,2NWZiXyRdKEolP8QrjBGmp,spotify:track:2NWZiXyRdKEolP8QrjBGmp,https://api.spotify.com/v1/tracks/2NWZiXyRdKEolP8QrjBGmp,https://api.spotify.com/v1/audio-analysis/2NWZiXyRdKEolP8QrjBGmp,221965,4,Sangeeths
494,0.511,0.532,8,-10.417,1,0.37,0.41,0.0,0.247,0.521,150.186,audio_features,1NEzXSTn4GqgCaHKWOAeyU,spotify:track:1NEzXSTn4GqgCaHKWOAeyU,https://api.spotify.com/v1/tracks/1NEzXSTn4GqgCaHKWOAeyU,https://api.spotify.com/v1/audio-analysis/1NEzXSTn4GqgCaHKWOAeyU,148875,4,Sangeeths
495,0.68,0.522,11,-9.845,0,0.0561,0.16,0.000436,0.103,0.523,82.976,audio_features,49Pmw9fJiPlnrMAM5TJ3YE,spotify:track:49Pmw9fJiPlnrMAM5TJ3YE,https://api.spotify.com/v1/tracks/49Pmw9fJiPlnrMAM5TJ3YE,https://api.spotify.com/v1/audio-analysis/49Pmw9fJiPlnrMAM5TJ3YE,165840,4,Sangeeths
496,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,audio_features,21nFIDqoD1L7ELsprVSzOR,spotify:track:21nFIDqoD1L7ELsprVSzOR,https://api.spotify.com/v1/tracks/21nFIDqoD1L7ELsprVSzOR,https://api.spotify.com/v1/audio-analysis/21nFIDqoD1L7ELsprVSzOR,203200,4,Sangeeths
497,0.781,0.754,1,-4.074,0,0.0754,0.0476,6.99e-06,0.186,0.421,110.012,audio_features,7kYC5ilFc6kXN6YagFRemB,spotify:track:7kYC5ilFc6kXN6YagFRemB,https://api.spotify.com/v1/tracks/7kYC5ilFc6kXN6YagFRemB,https://api.spotify.com/v1/audio-analysis/7kYC5ilFc6kXN6YagFRemB,214000,4,Sangeeths
498,0.654,0.782,1,-2.88,1,0.244,0.198,0.0,0.347,0.635,179.701,audio_features,2pfio0uHpT4USTPBNeTIWo,spotify:track:2pfio0uHpT4USTPBNeTIWo,https://api.spotify.com/v1/tracks/2pfio0uHpT4USTPBNeTIWo,https://api.spotify.com/v1/audio-analysis/2pfio0uHpT4USTPBNeTIWo,151295,4,Sangeeths
499,0.9,0.796,1,-6.356,1,0.233,0.0278,2.32e-06,0.165,0.713,100.056,audio_features,6mh1ErQFwTq8aCZMbPoKWj,spotify:track:6mh1ErQFwTq8aCZMbPoKWj,https://api.spotify.com/v1/tracks/6mh1ErQFwTq8aCZMbPoKWj,https://api.spotify.com/v1/audio-analysis/6mh1ErQFwTq8aCZMbPoKWj,127125,4,Sangeeths
500,0.928,0.806,10,-4.688,0,0.207,0.0307,0.0165,0.091,0.77,128.05,audio_features,06LvKELThd1uUFOA45VFqB,spotify:track:06LvKELThd1uUFOA45VFqB,https://api.spotify.com/v1/tracks/06LvKELThd1uUFOA45VFqB,https://api.spotify.com/v1/audio-analysis/06LvKELThd1uUFOA45VFqB,150000,4,Sangeeths
501,0.87,0.571,8,-5.983,1,0.129,0.058,4.77e-05,0.11,0.418,99.975,audio_features,211uzLvGARhIKcPycGEg91,spotify:track:211uzLvGARhIKcPycGEg91,https://api.spotify.com/v1/tracks/211uzLvGARhIKcPycGEg91,https://api.spotify.com/v1/audio-analysis/211uzLvGARhIKcPycGEg91,158800,4,Sangeeths
502,0.433,0.669,10,-6.743,0,0.227,0.396,0.0,0.192,0.629,55.545,audio_features,02WEoD3EQvqT8AqUQswvwq,spotify:track:02WEoD3EQvqT8AqUQswvwq,https://api.spotify.com/v1/tracks/02WEoD3EQvqT8AqUQswvwq,https://api.spotify.com/v1/audio-analysis/02WEoD3EQvqT8AqUQswvwq,196366,4,Sangeeths
503,0.847,0.628,9,-4.798,1,0.265,0.0337,0.0,0.0835,0.193,148.958,audio_features,5VyKql2mdZzh5lrzLBDYve,spotify:track:5VyKql2mdZzh5lrzLBDYve,https://api.spotify.com/v1/tracks/5VyKql2mdZzh5lrzLBDYve,https://api.spotify.com/v1/audio-analysis/5VyKql2mdZzh5lrzLBDYve,142148,5,Sangeeths
504,0.704,0.617,9,-6.878,0,0.202,0.223,1.79e-06,0.0937,0.65,166.009,audio_features,6NpALXgPEi7fJjVFmy7ixD,spotify:track:6NpALXgPEi7fJjVFmy7ixD,https://api.spotify.com/v1/tracks/6NpALXgPEi7fJjVFmy7ixD,https://api.spotify.com/v1/audio-analysis/6NpALXgPEi7fJjVFmy7ixD,256679,4,Sangeeths
505,0.863,0.75,4,-6.126,0,0.0462,0.137,0.0,0.123,0.636,110.99,audio_features,4rWmiPY8F149uCM9E8zGKI,spotify:track:4rWmiPY8F149uCM9E8zGKI,https://api.spotify.com/v1/tracks/4rWmiPY8F149uCM9E8zGKI,https://api.spotify.com/v1/audio-analysis/4rWmiPY8F149uCM9E8zGKI,252162,4,Sangeeths
506,0.731,0.576,11,-7.992,0,0.0878,0.213,0.0,0.0963,0.657,139.867,audio_features,1TzjQtYDLElpql6ppVJZnV,spotify:track:1TzjQtYDLElpql6ppVJZnV,https://api.spotify.com/v1/tracks/1TzjQtYDLElpql6ppVJZnV,https://api.spotify.com/v1/audio-analysis/1TzjQtYDLElpql6ppVJZnV,242571,4,Sangeeths
507,0.793,0.382,8,-12.738,0,0.145,0.267,1.46e-06,0.0729,0.602,105.092,audio_features,2vvtC2SktCtve8jMTGycnE,spotify:track:2vvtC2SktCtve8jMTGycnE,https://api.spotify.com/v1/tracks/2vvtC2SktCtve8jMTGycnE,https://api.spotify.com/v1/audio-analysis/2vvtC2SktCtve8jMTGycnE,254857,4,Sangeeths
508,0.949,0.727,9,-6.325,0,0.122,0.308,0.0,0.183,0.808,108.003,audio_features,3dGOKzpalsWMpRXVT0eWYE,spotify:track:3dGOKzpalsWMpRXVT0eWYE,https://api.spotify.com/v1/tracks/3dGOKzpalsWMpRXVT0eWYE,https://api.spotify.com/v1/audio-analysis/3dGOKzpalsWMpRXVT0eWYE,226389,4,Sangeeths
509,0.801,0.85,4,-5.248,0,0.131,0.0255,0.0,0.116,0.678,132.998,audio_features,2p77paMGNGKwEig9AcMpeW,spotify:track:2p77paMGNGKwEig9AcMpeW,https://api.spotify.com/v1/tracks/2p77paMGNGKwEig9AcMpeW,https://api.spotify.com/v1/audio-analysis/2p77paMGNGKwEig9AcMpeW,175038,4,Sangeeths
510,0.518,0.67,6,-7.307,0,0.47,0.101,0.0,0.0835,0.428,191.486,audio_features,18VRnJOBksZVjCwwvMazA3,spotify:track:18VRnJOBksZVjCwwvMazA3,https://api.spotify.com/v1/tracks/18VRnJOBksZVjCwwvMazA3,https://api.spotify.com/v1/audio-analysis/18VRnJOBksZVjCwwvMazA3,166000,4,Sangeeths
511,0.612,0.901,2,-2.621,1,0.283,0.0584,0.0,0.533,0.333,92.165,audio_features,6BpW3ZmHrfbFaiPrwuMjPk,spotify:track:6BpW3ZmHrfbFaiPrwuMjPk,https://api.spotify.com/v1/tracks/6BpW3ZmHrfbFaiPrwuMjPk,https://api.spotify.com/v1/audio-analysis/6BpW3ZmHrfbFaiPrwuMjPk,195293,4,Sangeeths
512,0.927,0.78,6,-5.253,0,0.215,0.0971,0.0,0.0788,0.83,139.86,audio_features,27Vuyqm8h8Z8c4Luae16NO,spotify:track:27Vuyqm8h8Z8c4Luae16NO,https://api.spotify.com/v1/tracks/27Vuyqm8h8Z8c4Luae16NO,https://api.spotify.com/v1/audio-analysis/27Vuyqm8h8Z8c4Luae16NO,211209,4,Sangeeths
513,0.565,0.604,2,-5.764,0,0.13,0.218,0.0,0.104,0.323,109.085,audio_features,6fDC5DIa4bt6NbPZWR1yxM,spotify:track:6fDC5DIa4bt6NbPZWR1yxM,https://api.spotify.com/v1/tracks/6fDC5DIa4bt6NbPZWR1yxM,https://api.spotify.com/v1/audio-analysis/6fDC5DIa4bt6NbPZWR1yxM,176535,4,Sangeeths
514,0.836,0.651,11,-7.231,0,0.0762,0.416,2.27e-06,0.07,0.543,124.98,audio_features,1v6ZlcPhwFSp4Hbtyf4UP9,spotify:track:1v6ZlcPhwFSp4Hbtyf4UP9,https://api.spotify.com/v1/tracks/1v6ZlcPhwFSp4Hbtyf4UP9,https://api.spotify.com/v1/audio-analysis/1v6ZlcPhwFSp4Hbtyf4UP9,157440,4,Sangeeths
515,0.773,0.852,2,-3.472,1,0.196,0.0566,0.0,0.31,0.337,95.063,audio_features,1jcL3tCnSpMdj5tnzHD3iX,spotify:track:1jcL3tCnSpMdj5tnzHD3iX,https://api.spotify.com/v1/tracks/1jcL3tCnSpMdj5tnzHD3iX,https://api.spotify.com/v1/audio-analysis/1jcL3tCnSpMdj5tnzHD3iX,224842,4,Sangeeths
516,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4,Sangeeths
517,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,audio_features,5WvAo7DNuPRmk4APhdPzi8,spotify:track:5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8,260000,5,Sangeeths
518,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,audio_features,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,200787,4,Sangeeths
519,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,audio_features,4B0JvthVoAAuygILe3n4Bs,spotify:track:4B0JvthVoAAuygILe3n4Bs,https://api.spotify.com/v1/tracks/4B0JvthVoAAuygILe3n4Bs,https://api.spotify.com/v1/audio-analysis/4B0JvthVoAAuygILe3n4Bs,205680,4,Sangeeths
520,0.871,0.688,7,-3.944,1,0.153,0.545,1.02e-05,0.0788,0.805,101.987,audio_features,0GIQeAELQSy10NHp3AUE0L,spotify:track:0GIQeAELQSy10NHp3AUE0L,https://api.spotify.com/v1/tracks/0GIQeAELQSy10NHp3AUE0L,https://api.spotify.com/v1/audio-analysis/0GIQeAELQSy10NHp3AUE0L,184000,4,Sangeeths
521,0.752,0.704,11,-4.985,0,0.151,0.266,1.62e-05,0.112,0.797,176.076,audio_features,40tp8ONueMaoOc4qGj7Uwf,spotify:track:40tp8ONueMaoOc4qGj7Uwf,https://api.spotify.com/v1/tracks/40tp8ONueMaoOc4qGj7Uwf,https://api.spotify.com/v1/audio-analysis/40tp8ONueMaoOc4qGj7Uwf,199261,4,Sangeeths
522,0.859,0.679,7,-9.126,1,0.116,0.183,0.00097,0.107,0.57,134.97,audio_features,4t7HHURXOXQdqE9THQWXqB,spotify:track:4t7HHURXOXQdqE9THQWXqB,https://api.spotify.com/v1/tracks/4t7HHURXOXQdqE9THQWXqB,https://api.spotify.com/v1/audio-analysis/4t7HHURXOXQdqE9THQWXqB,192026,4,Sangeeths
523,0.885,0.75,9,-6.198,0,0.0967,0.104,0.0749,0.0832,0.75,142.962,audio_features,4NpCP4YhNlThzn8QFyCceH,spotify:track:4NpCP4YhNlThzn8QFyCceH,https://api.spotify.com/v1/tracks/4NpCP4YhNlThzn8QFyCceH,https://api.spotify.com/v1/audio-analysis/4NpCP4YhNlThzn8QFyCceH,189533,4,Sangeeths
524,0.879,0.415,9,-10.539,1,0.336,0.583,0.0,0.0485,0.648,96.027,audio_features,0AOfeGGR2HMJhgynl0sGBh,spotify:track:0AOfeGGR2HMJhgynl0sGBh,https://api.spotify.com/v1/tracks/0AOfeGGR2HMJhgynl0sGBh,https://api.spotify.com/v1/audio-analysis/0AOfeGGR2HMJhgynl0sGBh,219000,4,Sangeeths
525,0.699,0.564,4,-7.105,0,0.0474,0.178,0.0013,0.114,0.621,107.905,audio_features,0tIQRW7OQs8NSsufOOetHo,spotify:track:0tIQRW7OQs8NSsufOOetHo,https://api.spotify.com/v1/tracks/0tIQRW7OQs8NSsufOOetHo,https://api.spotify.com/v1/audio-analysis/0tIQRW7OQs8NSsufOOetHo,217500,4,Sangeeths
526,0.762,0.608,10,-8.328,0,0.101,0.486,1.39e-06,0.13,0.419,102.024,audio_features,7B6ZXl7BxwPtY9PGTJjaCN,spotify:track:7B6ZXl7BxwPtY9PGTJjaCN,https://api.spotify.com/v1/tracks/7B6ZXl7BxwPtY9PGTJjaCN,https://api.spotify.com/v1/audio-analysis/7B6ZXl7BxwPtY9PGTJjaCN,230500,4,Sangeeths
527,0.614,0.695,3,-5.671,0,0.389,0.0313,5.64e-06,0.326,0.62,197.962,audio_features,5jfgGIslnUxnbulyL8WyIK,spotify:track:5jfgGIslnUxnbulyL8WyIK,https://api.spotify.com/v1/tracks/5jfgGIslnUxnbulyL8WyIK,https://api.spotify.com/v1/audio-analysis/5jfgGIslnUxnbulyL8WyIK,153333,4,Sangeeths
528,0.42,0.547,3,-8.09,0,0.0924,0.659,0.0,0.104,0.46,80.657,audio_features,5zeI6Co8KzH5EpQud4YY3Z,spotify:track:5zeI6Co8KzH5EpQud4YY3Z,https://api.spotify.com/v1/tracks/5zeI6Co8KzH5EpQud4YY3Z,https://api.spotify.com/v1/audio-analysis/5zeI6Co8KzH5EpQud4YY3Z,214238,5,Sangeeths
529,0.734,0.871,5,-5.689,0,0.139,0.134,0.0,0.315,0.298,125.996,audio_features,4Lvu8RdqSW4uH6SHKgOfKq,spotify:track:4Lvu8RdqSW4uH6SHKgOfKq,https://api.spotify.com/v1/tracks/4Lvu8RdqSW4uH6SHKgOfKq,https://api.spotify.com/v1/audio-analysis/4Lvu8RdqSW4uH6SHKgOfKq,199000,4,Sangeeths
530,0.761,0.958,6,-4.761,1,0.126,0.121,0.0,0.359,0.919,149.881,audio_features,2nvmHDiEWXRzS6FUDzUhVL,spotify:track:2nvmHDiEWXRzS6FUDzUhVL,https://api.spotify.com/v1/tracks/2nvmHDiEWXRzS6FUDzUhVL,https://api.spotify.com/v1/audio-analysis/2nvmHDiEWXRzS6FUDzUhVL,172000,4,Sangeeths
531,0.484,0.782,8,-5.674,1,0.298,0.0915,0.00236,0.116,0.307,95.401,audio_features,7g7aSJiEcQP8s3PTzqM4Fj,spotify:track:7g7aSJiEcQP8s3PTzqM4Fj,https://api.spotify.com/v1/tracks/7g7aSJiEcQP8s3PTzqM4Fj,https://api.spotify.com/v1/audio-analysis/7g7aSJiEcQP8s3PTzqM4Fj,218499,4,Sangeeths
532,0.745,0.772,3,-6.211,0,0.116,0.031,6.29e-05,0.137,0.321,120.082,audio_features,1mEboo42f3Pt5BSPCtogYr,spotify:track:1mEboo42f3Pt5BSPCtogYr,https://api.spotify.com/v1/tracks/1mEboo42f3Pt5BSPCtogYr,https://api.spotify.com/v1/audio-analysis/1mEboo42f3Pt5BSPCtogYr,242207,4,Sangeeths
533,0.758,0.701,1,-4.829,1,0.2,0.0924,0.0,0.356,0.264,95.987,audio_features,6kmpeu6dXy6DPjOHv3NAeT,spotify:track:6kmpeu6dXy6DPjOHv3NAeT,https://api.spotify.com/v1/tracks/6kmpeu6dXy6DPjOHv3NAeT,https://api.spotify.com/v1/audio-analysis/6kmpeu6dXy6DPjOHv3NAeT,182781,4,Sangeeths
534,0.859,0.654,8,-7.584,1,0.312,0.254,2.13e-05,0.0827,0.366,130.006,audio_features,5XL8t0sfvBdwdH7RrHQMtv,spotify:track:5XL8t0sfvBdwdH7RrHQMtv,https://api.spotify.com/v1/tracks/5XL8t0sfvBdwdH7RrHQMtv,https://api.spotify.com/v1/audio-analysis/5XL8t0sfvBdwdH7RrHQMtv,92933,4,Sangeeths
535,0.644,0.787,10,-5.602,0,0.322,0.234,0.0,0.29,0.441,92.184,audio_features,0h0DsdS7Fpzq1dTopmPNpb,spotify:track:0h0DsdS7Fpzq1dTopmPNpb,https://api.spotify.com/v1/tracks/0h0DsdS7Fpzq1dTopmPNpb,https://api.spotify.com/v1/audio-analysis/0h0DsdS7Fpzq1dTopmPNpb,188227,4,Sangeeths
536,0.859,0.699,11,-5.634,0,0.38,0.254,0.0,0.101,0.403,137.972,audio_features,4vHTCgx5Y9TZaWUjIyuLvo,spotify:track:4vHTCgx5Y9TZaWUjIyuLvo,https://api.spotify.com/v1/tracks/4vHTCgx5Y9TZaWUjIyuLvo,https://api.spotify.com/v1/audio-analysis/4vHTCgx5Y9TZaWUjIyuLvo,236907,4,Sangeeths
537,0.503,0.777,1,-6.195,1,0.824,0.231,0.0,0.111,0.534,89.926,audio_features,3C0XXgpDgN4UMqC5rATVyO,spotify:track:3C0XXgpDgN4UMqC5rATVyO,https://api.spotify.com/v1/tracks/3C0XXgpDgN4UMqC5rATVyO,https://api.spotify.com/v1/audio-analysis/3C0XXgpDgN4UMqC5rATVyO,158973,4,Sangeeths
538,0.658,0.747,2,-1.972,1,0.456,0.334,0.0,0.2,0.508,78.417,audio_features,6zxFyURXhsMwwkLQGZbzBw,spotify:track:6zxFyURXhsMwwkLQGZbzBw,https://api.spotify.com/v1/tracks/6zxFyURXhsMwwkLQGZbzBw,https://api.spotify.com/v1/audio-analysis/6zxFyURXhsMwwkLQGZbzBw,212507,4,Sangeeths
539,0.636,0.741,5,-5.942,0,0.609,0.346,0.0,0.11,0.395,185.853,audio_features,1KGey3jF7EMxwbG1KofMz2,spotify:track:1KGey3jF7EMxwbG1KofMz2,https://api.spotify.com/v1/tracks/1KGey3jF7EMxwbG1KofMz2,https://api.spotify.com/v1/audio-analysis/1KGey3jF7EMxwbG1KofMz2,165760,4,Sangeeths
540,0.738,0.449,10,-7.316,0,0.309,0.705,1.2e-05,0.112,0.421,145.195,audio_features,3xZAsF5FS5WgT4UDFXYJxx,spotify:track:3xZAsF5FS5WgT4UDFXYJxx,https://api.spotify.com/v1/tracks/3xZAsF5FS5WgT4UDFXYJxx,https://api.spotify.com/v1/audio-analysis/3xZAsF5FS5WgT4UDFXYJxx,185733,4,Sangeeths
541,0.805,0.711,4,-6.186,0,0.435,0.317,0.0,0.0883,0.488,132.107,audio_features,3VvaEIA0GKihbcWxWDfN33,spotify:track:3VvaEIA0GKihbcWxWDfN33,https://api.spotify.com/v1/tracks/3VvaEIA0GKihbcWxWDfN33,https://api.spotify.com/v1/audio-analysis/3VvaEIA0GKihbcWxWDfN33,178147,4,Sangeeths
542,0.673,0.623,1,-6.153,1,0.373,0.0932,0.0,0.14,0.191,149.815,audio_features,5WJBABuzrSRSVYnw3j7dqR,spotify:track:5WJBABuzrSRSVYnw3j7dqR,https://api.spotify.com/v1/tracks/5WJBABuzrSRSVYnw3j7dqR,https://api.spotify.com/v1/audio-analysis/5WJBABuzrSRSVYnw3j7dqR,269613,4,Sangeeths
543,0.777,0.727,1,-6.107,1,0.283,0.357,0.0,0.0777,0.614,150.103,audio_features,4wNoRqV13QFo0ioevVaP1W,spotify:track:4wNoRqV13QFo0ioevVaP1W,https://api.spotify.com/v1/tracks/4wNoRqV13QFo0ioevVaP1W,https://api.spotify.com/v1/audio-analysis/4wNoRqV13QFo0ioevVaP1W,192200,4,Sangeeths
544,0.694,0.836,1,-4.305,1,0.404,0.272,0.0,0.124,0.668,94.722,audio_features,1DLOUgkOuBQ86na4LfYJGd,spotify:track:1DLOUgkOuBQ86na4LfYJGd,https://api.spotify.com/v1/tracks/1DLOUgkOuBQ86na4LfYJGd,https://api.spotify.com/v1/audio-analysis/1DLOUgkOuBQ86na4LfYJGd,165027,4,Sangeeths
545,0.834,0.657,1,-6.779,0,0.362,0.609,3.41e-05,0.108,0.482,107.931,audio_features,0vQvHqqROk1GNV94iz1Bx6,spotify:track:0vQvHqqROk1GNV94iz1Bx6,https://api.spotify.com/v1/tracks/0vQvHqqROk1GNV94iz1Bx6,https://api.spotify.com/v1/audio-analysis/0vQvHqqROk1GNV94iz1Bx6,169693,4,Sangeeths
546,0.848,0.404,5,-10.306,0,0.0676,0.0346,0.862,0.0808,0.391,130.027,audio_features,1LdhVTL4JPVnT3m1B1Oxxt,spotify:track:1LdhVTL4JPVnT3m1B1Oxxt,https://api.spotify.com/v1/tracks/1LdhVTL4JPVnT3m1B1Oxxt,https://api.spotify.com/v1/audio-analysis/1LdhVTL4JPVnT3m1B1Oxxt,91240,4,Sangeeths
547,0.532,0.37,10,-15.762,0,0.315,0.851,0.00653,0.123,0.426,63.162,audio_features,5RpsCnlR6yMlhwDcrLcylk,spotify:track:5RpsCnlR6yMlhwDcrLcylk,https://api.spotify.com/v1/tracks/5RpsCnlR6yMlhwDcrLcylk,https://api.spotify.com/v1/audio-analysis/5RpsCnlR6yMlhwDcrLcylk,45667,3,Sangeeths
548,0.802,0.682,9,-6.783,1,0.568,0.505,0.0,0.103,0.589,96.896,audio_features,137VK6DhNh2f6qhx1CaQ4g,spotify:track:137VK6DhNh2f6qhx1CaQ4g,https://api.spotify.com/v1/tracks/137VK6DhNh2f6qhx1CaQ4g,https://api.spotify.com/v1/audio-analysis/137VK6DhNh2f6qhx1CaQ4g,143987,4,Sangeeths
549,0.887,0.739,9,-6.935,0,0.355,0.198,0.0,0.126,0.619,129.89,audio_features,4sbVf9Le6JYtTWPdwcBamA,spotify:track:4sbVf9Le6JYtTWPdwcBamA,https://api.spotify.com/v1/tracks/4sbVf9Le6JYtTWPdwcBamA,https://api.spotify.com/v1/audio-analysis/4sbVf9Le6JYtTWPdwcBamA,149267,4,Sangeeths
550,0.738,0.78,6,-6.677,1,0.0345,0.324,2.51e-06,0.0989,0.779,139.914,audio_features,5b195aHKKd6oTr4f7DoRCo,spotify:track:5b195aHKKd6oTr4f7DoRCo,https://api.spotify.com/v1/tracks/5b195aHKKd6oTr4f7DoRCo,https://api.spotify.com/v1/audio-analysis/5b195aHKKd6oTr4f7DoRCo,208023,4,Sangeeths
551,0.742,0.714,11,-3.882,0,0.336,0.135,0.0028,0.253,0.481,179.756,audio_features,1EPtSITu19y0DQvbIvs6Jz,spotify:track:1EPtSITu19y0DQvbIvs6Jz,https://api.spotify.com/v1/tracks/1EPtSITu19y0DQvbIvs6Jz,https://api.spotify.com/v1/audio-analysis/1EPtSITu19y0DQvbIvs6Jz,174547,4,Sangeeths
